sid,hexres,hexid,hexpct
49,2,812afffffffffff,0.8493646161892073
49,2,812b7ffffffffff,0.8653356819389305
49,2,812e3ffffffffff,0.10715990473505593
49,2,812f3ffffffffff,0.07013276911439455
49,2,812f7ffffffffff,0.31981152802873314
49,2,812fbffffffffff,0.010248553601439876
49,2,81323ffffffffff,0.21566336510140866
49,2,81327ffffffffff,0.6500703205995388
49,2,8132bffffffffff,0.040916854154747946
49,2,8132fffffffffff,0.023853334494432794
49,2,81333ffffffffff,0.08392485131929225
49,2,81337ffffffffff,0.008615569925784836
49,2,8133bffffffffff,0.7517895707415151
49,2,81343ffffffffff,0.6144164644614742
49,2,81347ffffffffff,0.3456766769879134
49,2,8134bffffffffff,0.4767593007448963
49,2,8134fffffffffff,0.2842254996217099
49,2,81353ffffffffff,0.8717728629335159
49,2,81357ffffffffff,0.8985345948800326
49,2,8135bffffffffff,0.695978993111464
49,2,81363ffffffffff,0.09368817079687108
49,2,81367ffffffffff,0.5749362792521105
49,2,8136bffffffffff,0.046954900202380565
49,2,8136fffffffffff,0.06474054373103733
49,2,81373ffffffffff,0.3049271016181058
49,2,81377ffffffffff,0.4139488495396542
49,2,8137bffffffffff,0.04660897703675374
49,2,8139bffffffffff,0.8030109642008684
49,2,813a3ffffffffff,0.4583927258991852
49,2,813a7ffffffffff,0.17950132861237325
49,2,813abffffffffff,0.022337050193928346
49,2,813afffffffffff,0.06440047082325041
49,2,813b3ffffffffff,0.8310349739736901
49,2,813b7ffffffffff,0.8422409895954026
49,2,813bbffffffffff,0.8354247397073276
49,2,8142bffffffffff,0.1170239782613063
49,2,81443ffffffffff,0.9891121757679833
49,2,8144bffffffffff,1
49,2,81457ffffffffff,0.3004298325434791
49,2,81463ffffffffff,0.7870110712559958
49,2,81467ffffffffff,0.8558640077207943
49,2,8146bffffffffff,0.8348359119432534
49,2,8146fffffffffff,0.19453913556016075
49,2,81473ffffffffff,0.2044058339831068
49,2,81477ffffffffff,0.48830550688501845
49,2,8147bffffffffff,0.17037053700451202
49,2,81487ffffffffff,0.6049863962595978
49,2,81493ffffffffff,0.0802369757112385
49,2,81497ffffffffff,0.11720918397077476
49,2,814a3ffffffffff,0.07246656669409063
49,2,814a7ffffffffff,0.08563622537439389
49,2,814abffffffffff,0.11370791064270586
49,2,814afffffffffff,0.027151080080297003
49,2,814b7ffffffffff,0.8609456457006786
49,2,814c3ffffffffff,0.17980832359954751
49,2,814cbffffffffff,0.06228932378142539
49,2,814d3ffffffffff,0.26396537333006076
49,2,814d7ffffffffff,0.02834858332777538
49,2,814dbffffffffff,0.5576561117440001
49,2,814e3ffffffffff,0.04603367503544514
49,2,814e7ffffffffff,0.12639661939570254
49,2,814ebffffffffff,0.13171748708024347
49,2,814efffffffffff,0.04562700473212237
49,2,814f3ffffffffff,0.01341028568225066
49,2,814f7ffffffffff,0.056023118662566845
49,2,814fbffffffffff,0.014843269643136486
49,2,81503ffffffffff,0.29806812625109136
49,2,81507ffffffffff,0.05102729928776912
49,2,8150bffffffffff,0.14152168612049834
49,2,8150fffffffffff,0.5346586952669653
49,2,81517ffffffffff,0.11637277055138585
49,2,8151bffffffffff,0.35463125846744487
49,2,8154bffffffffff,0.850808461408952
49,2,8154fffffffffff,0.9986859076698986
49,2,8155bffffffffff,0.5310360306093294
49,2,81563ffffffffff,0.44047695678658816
49,2,81567ffffffffff,0.09150508277078115
49,2,8156bffffffffff,0.7889182713877959
49,2,8156fffffffffff,0.5686475040113533
49,2,81573ffffffffff,0.0639799600901199
49,2,81577ffffffffff,0.6001451134800565
49,2,8157bffffffffff,0.09308072225180612
49,2,815a3ffffffffff,0.698846868924568
49,2,815a7ffffffffff,0.08898208793038836
49,2,815abffffffffff,0.604047976615262
49,2,815afffffffffff,0.45587225201533477
49,2,815b3ffffffffff,0.1568287238485429
49,2,815bbffffffffff,0.4152171707642411
49,2,815c3ffffffffff,0.048884700939065426
49,2,815cbffffffffff,0.127943571853455
49,2,815cfffffffffff,0.017560708250353014
49,2,815d3ffffffffff,0.04051981786942717
49,2,815d7ffffffffff,0.04988543283791653
49,2,815dbffffffffff,0.04159900586263149
49,2,815e3ffffffffff,0.5387027239003511
49,2,815ebffffffffff,0.8005474069835699
49,2,815efffffffffff,0.5243972741866627
